,debt_outstanding($bil)24_younger,borrowers(mil)24_younger,debt_outstanding($bil)25_34,borrowers(mil)25_34,debt_outstanding($bil)35_49,borrowers(mil)35_49,debt_outstanding($bil)50_61,borrowers(mil)50_61,debt_outstanding($bil)62_older,borrowers(mil)62_older
debt_size,,,,,,,,,,
"('Less than 5K',)",3.7,1.24,6.18,2.22,5.27,2.06,2.41,0.96,1.17,0.49
"('5K to 10K',)",13.68,2.05,17.35,2.34,13.82,1.86,6.53,0.88,2.9,0.39
"('10K to 20K',)",27.76,1.92,46.94,3.23,37.68,2.59,16.19,1.12,6.41,0.44
"('20K to 40K',)",38.36,1.43,106.14,3.71,85.27,2.94,34.37,1.19,12.3,0.43
"('40K to 60K',)",7.17,0.15,73.29,1.5,85.59,1.74,33.98,0.69,11.29,0.23
"('60K to 80K',)",3.36,0.05,50.74,0.74,82.73,1.2,33.09,0.48,10.64,0.15
"('80K to 100K',)",2.27,0.03,28.44,0.32,59.41,0.67,27.39,0.31,8.82,0.1
"('100K to 200K',)",4.48,0.03,79.52,0.57,144.36,1.05,78.25,0.57,26.92,0.19
"('200K+',)",0.94,0.0,86.78,0.29,115.33,0.39,56.64,0.2,23.47,0.08
