"Table 5.1 Unemployment rates and earnings by educational attainment, 2021",,
Educational attainment,Median usual weekly earnings ($),Unemployment rate (%)
Doctoral degree,"1,909",1.5
Professional degree,"1,924",1.8
Master's degree,"1,574",2.6
Bachelor's degree,"1,334",3.5
Associate's degree,963,4.6
"Some college, no degree",899,5.5
High school diploma,809,6.2
Less than a high school diploma,626,8.3
Total,"1,057",4.7
Note: Data are for persons age 25 and over. Earnings are for full-time wage and salary workers.,,
"Source: Current Population Survey, U.S. Department of Labor, U.S. Bureau of Labor Statistics",,
